no,lat,lng,名前
1,35.9312618,136.1633245,2022.3.25死亡事故
2,35.93010637,136.1449782,2023.3.2負傷事故
3,35.92492845,136.1440769,2024.2.2負傷事故
4,35.9202802,136.1509648,2023.4.30負傷事故
5,35.92062774,136.1578635,車両事故多発
6,35.92018897,136.1615864,車両事故多発
7,35.92622948,136.1607576,2023.11.1負傷事故
8,35.92629408,136.1629345,2022.3.10小学生負傷事故
9,35.92351822,136.1559108,2024.4.27自転車盗難
