No,lat,lng,other
2-1, 35.936630740818366, 136.05973667067542, 
2-2, 35.9349287315606, 136.05903296715817,
2-3, 35.934296860415756, 136.0585818751639,
2-4, 35.93352984240832, 136.05841948204417,
2-5, 35.932963705309135, 136.05834730732448,
2-6, 35.934362604445795, 136.06102679377244, 
2-7, 35.931725494535875, 136.05776990958267,
2-8, 35.932649588763034, 136.05929460053662,
2-9, 35.932854129896796, 136.06069298570495,
2-10, 35.93084561222135, 136.05697919277102,
