No,lat,lng,other
2-1, 35.93091723635233, 136.06189362988948, 
2-2, 35.93102829589145, 136.06261450256605,
2-3, 35.93172223281034, 136.06321633263707,
2-4, 35.93039472199689, 136.06462434297006,
2-5, 35.931588946555465, 136.0661221438499, 
