No.,店名・会社名・建物名・個人住宅,住所,Geo3x3,icon
104,大黒食堂,越前市粟田部町中央２丁目908,E913849987162363,
105,カフェ万修,越前市粟田部町39-4,E913849984772325,
106,より処,越前市粟田部町38-3-4,E913849984756466,
107,花筐小学校,越前市粟田部町41-12,E913849976926448,
108,森六,越前市粟田部町26-20,E913849976856445,
109,生蕎庵,越前市千原町7-7,E913849976294125,
110,了慶寺,越前市粟田部町25-38,E913849976872439,
111,円正寺,越前市粟田部町23-31,E913849976888944,
112,福泉寺,越前市粟田部町22-23,E913849979224566,
113,栗生寺,越前市粟田部町23-1,E913849979251322,
114,善光寺,越前市粟田部町23-14,E913849979222883,
115,教願寺,越前市粟田部町23-24,E913849979226171,
116,旧今立図書館（島会館）,越前市粟田部町22-22,E913849979219336,
117,岡太神社,越前市粟田部町19-3,E913849979256996,
118,感應寺,越前市粟田部町28-32,E913849979314856,
119,今立郵便局,越前市粟田部町27-41-1,E913849976892846,
120,酒井邸,越前市粟田部町27-31,E913849976978362,
121,勘助,越前市粟田部町29-24,E913849976988538,
122,寿屋,越前市粟田部町29-41,E913849979334624,
123,かせや,越前市粟田部町29-6,E913849979324285,
124,茶碗屋,越前市粟田部町15-44,E913849979328748,
125,大福,越前市粟田部町15-22,E913849979356144,
126,皇子ヶ池,越前市粟田部町17-8,E913849979381795,
127,佐山姫公園,越前市粟田部町,E913849979382585,
128,花筐公園,越前市粟田部町17,E913849979269646,
129,,,,
130,,,,
131,,,,
